2026-05-04 22:01:30 | INFO     | [tracker] No existing state — starting fresh
2026-05-04 22:01:30 | WARNING  | ⚠️  Discord webhook not configured. Set DISCORD_WEBHOOK_URL to enable notifications
2026-05-04 22:01:30 | INFO     | 🚀 Kakashi v2 (Basket) running — PAPER mode (LIVE_TRADING=False hardcoded)
2026-05-04 22:01:30 | INFO     | [basket] sports     ✅  wallets=4
2026-05-04 22:01:30 | INFO     | [basket] politics   ✅  wallets=0
2026-05-04 22:01:30 | INFO     | [basket] crypto     ✅  wallets=0
2026-05-04 22:01:30 | INFO     | [basket] finance    ✅  wallets=0
2026-05-04 22:01:32 | INFO     | [strategy] CONSENSUS sports/No Counter-Strike: Natus Vincere vs FaZe (B | 2/4 wallets (50%)
2026-05-04 22:01:32 | INFO     | [strategy] CONSENSUS sports/No New York Mets vs. Los Angeles Angels | 2/4 wallets (50%)
2026-05-04 22:01:32 | INFO     | [strategy] CONSENSUS sports/No Knicks vs. Hawks | 2/4 wallets (50%)
2026-05-04 22:01:32 | INFO     | [strategy] CONSENSUS sports/No Cleveland Guardians vs. Toronto Blue Jay | 2/4 wallets (50%)
2026-05-04 22:01:32 | INFO     | [strategy] CONSENSUS sports/No Philadelphia Phillies vs. Atlanta Braves | 2/4 wallets (50%)
2026-05-04 22:01:32 | INFO     | [strategy] CONSENSUS sports/No Map Handicap: NAVI (-1.5) vs FaZe (+1.5) | 2/4 wallets (50%)
2026-05-04 22:01:32 | INFO     | [strategy] CONSENSUS sports/No Spread: Knicks (-1.5) | 2/4 wallets (50%)
2026-05-04 22:01:32 | INFO     | [strategy] CONSENSUS sports/No Spread: Spurs (-4.5) | 2/4 wallets (50%)
2026-05-04 22:02:37 | INFO     | [strategy] CONSENSUS sports/No Counter-Strike: Natus Vincere vs FaZe (B | 2/4 wallets (50%)
2026-05-04 22:02:37 | INFO     | [strategy] CONSENSUS sports/No New York Mets vs. Los Angeles Angels | 2/4 wallets (50%)
2026-05-04 22:02:37 | INFO     | [strategy] CONSENSUS sports/No Knicks vs. Hawks | 2/4 wallets (50%)
2026-05-04 22:02:37 | INFO     | [strategy] CONSENSUS sports/No Cleveland Guardians vs. Toronto Blue Jay | 2/4 wallets (50%)
2026-05-04 22:02:37 | INFO     | [strategy] CONSENSUS sports/No Philadelphia Phillies vs. Atlanta Braves | 2/4 wallets (50%)
2026-05-04 22:02:37 | INFO     | [strategy] CONSENSUS sports/No Map Handicap: NAVI (-1.5) vs FaZe (+1.5) | 2/4 wallets (50%)
2026-05-04 22:02:37 | INFO     | [strategy] CONSENSUS sports/No Spread: Knicks (-1.5) | 2/4 wallets (50%)
2026-05-04 22:02:37 | INFO     | [strategy] CONSENSUS sports/No Spread: Spurs (-4.5) | 2/4 wallets (50%)
2026-05-04 22:03:40 | INFO     | [strategy] CONSENSUS sports/No Counter-Strike: Natus Vincere vs FaZe (B | 2/4 wallets (50%)
2026-05-04 22:03:40 | INFO     | [strategy] CONSENSUS sports/No New York Mets vs. Los Angeles Angels | 2/4 wallets (50%)
2026-05-04 22:03:40 | INFO     | [strategy] CONSENSUS sports/No Knicks vs. Hawks | 2/4 wallets (50%)
2026-05-04 22:03:40 | INFO     | [strategy] CONSENSUS sports/No Cleveland Guardians vs. Toronto Blue Jay | 2/4 wallets (50%)
2026-05-04 22:03:40 | INFO     | [strategy] CONSENSUS sports/No Philadelphia Phillies vs. Atlanta Braves | 2/4 wallets (50%)
2026-05-04 22:03:40 | INFO     | [strategy] CONSENSUS sports/No Map Handicap: NAVI (-1.5) vs FaZe (+1.5) | 2/4 wallets (50%)
2026-05-04 22:03:40 | INFO     | [strategy] CONSENSUS sports/No Spread: Knicks (-1.5) | 2/4 wallets (50%)
2026-05-04 22:03:40 | INFO     | [strategy] CONSENSUS sports/No Spread: Spurs (-4.5) | 2/4 wallets (50%)
2026-05-04 22:04:43 | INFO     | [strategy] CONSENSUS sports/No Counter-Strike: Natus Vincere vs FaZe (B | 2/4 wallets (50%)
2026-05-04 22:04:43 | INFO     | [strategy] CONSENSUS sports/No New York Mets vs. Los Angeles Angels | 2/4 wallets (50%)
2026-05-04 22:04:43 | INFO     | [strategy] CONSENSUS sports/No Knicks vs. Hawks | 2/4 wallets (50%)
2026-05-04 22:04:43 | INFO     | [strategy] CONSENSUS sports/No Cleveland Guardians vs. Toronto Blue Jay | 2/4 wallets (50%)
2026-05-04 22:04:43 | INFO     | [strategy] CONSENSUS sports/No Philadelphia Phillies vs. Atlanta Braves | 2/4 wallets (50%)
2026-05-04 22:04:43 | INFO     | [strategy] CONSENSUS sports/No Map Handicap: NAVI (-1.5) vs FaZe (+1.5) | 2/4 wallets (50%)
2026-05-04 22:04:43 | INFO     | [strategy] CONSENSUS sports/No Spread: Knicks (-1.5) | 2/4 wallets (50%)
2026-05-04 22:04:43 | INFO     | [strategy] CONSENSUS sports/No Spread: Spurs (-4.5) | 2/4 wallets (50%)
2026-05-04 22:05:47 | INFO     | [strategy] CONSENSUS sports/No Counter-Strike: Natus Vincere vs FaZe (B | 2/4 wallets (50%)
2026-05-04 22:05:47 | INFO     | [strategy] CONSENSUS sports/No New York Mets vs. Los Angeles Angels | 2/4 wallets (50%)
2026-05-04 22:05:47 | INFO     | [strategy] CONSENSUS sports/No Knicks vs. Hawks | 2/4 wallets (50%)
2026-05-04 22:05:47 | INFO     | [strategy] CONSENSUS sports/No Cleveland Guardians vs. Toronto Blue Jay | 2/4 wallets (50%)
2026-05-04 22:05:47 | INFO     | [strategy] CONSENSUS sports/No Philadelphia Phillies vs. Atlanta Braves | 2/4 wallets (50%)
2026-05-04 22:05:47 | INFO     | [strategy] CONSENSUS sports/No Map Handicap: NAVI (-1.5) vs FaZe (+1.5) | 2/4 wallets (50%)
2026-05-04 22:05:47 | INFO     | [strategy] CONSENSUS sports/No Spread: Knicks (-1.5) | 2/4 wallets (50%)
2026-05-04 22:05:47 | INFO     | [strategy] CONSENSUS sports/No Spread: Spurs (-4.5) | 2/4 wallets (50%)
2026-05-04 22:06:50 | INFO     | [strategy] CONSENSUS sports/No Counter-Strike: Natus Vincere vs FaZe (B | 2/4 wallets (50%)
2026-05-04 22:06:50 | INFO     | [strategy] CONSENSUS sports/No New York Mets vs. Los Angeles Angels | 2/4 wallets (50%)
2026-05-04 22:06:50 | INFO     | [strategy] CONSENSUS sports/No Knicks vs. Hawks | 2/4 wallets (50%)
2026-05-04 22:06:50 | INFO     | [strategy] CONSENSUS sports/No Cleveland Guardians vs. Toronto Blue Jay | 2/4 wallets (50%)
2026-05-04 22:06:50 | INFO     | [strategy] CONSENSUS sports/No Philadelphia Phillies vs. Atlanta Braves | 2/4 wallets (50%)
2026-05-04 22:06:50 | INFO     | [strategy] CONSENSUS sports/No Map Handicap: NAVI (-1.5) vs FaZe (+1.5) | 2/4 wallets (50%)
2026-05-04 22:06:50 | INFO     | [strategy] CONSENSUS sports/No Spread: Knicks (-1.5) | 2/4 wallets (50%)
2026-05-04 22:06:50 | INFO     | [strategy] CONSENSUS sports/No Spread: Spurs (-4.5) | 2/4 wallets (50%)
2026-05-04 22:07:55 | INFO     | [strategy] CONSENSUS sports/No Counter-Strike: Natus Vincere vs FaZe (B | 2/4 wallets (50%)
2026-05-04 22:07:55 | INFO     | [strategy] CONSENSUS sports/No New York Mets vs. Los Angeles Angels | 2/4 wallets (50%)
2026-05-04 22:07:55 | INFO     | [strategy] CONSENSUS sports/No Knicks vs. Hawks | 2/4 wallets (50%)
2026-05-04 22:07:55 | INFO     | [strategy] CONSENSUS sports/No Cleveland Guardians vs. Toronto Blue Jay | 2/4 wallets (50%)
2026-05-04 22:07:55 | INFO     | [strategy] CONSENSUS sports/No Philadelphia Phillies vs. Atlanta Braves | 2/4 wallets (50%)
2026-05-04 22:07:55 | INFO     | [strategy] CONSENSUS sports/No Map Handicap: NAVI (-1.5) vs FaZe (+1.5) | 2/4 wallets (50%)
2026-05-04 22:07:55 | INFO     | [strategy] CONSENSUS sports/No Spread: Knicks (-1.5) | 2/4 wallets (50%)
2026-05-04 22:07:55 | INFO     | [strategy] CONSENSUS sports/No Spread: Spurs (-4.5) | 2/4 wallets (50%)
2026-05-04 22:08:59 | INFO     | [strategy] CONSENSUS sports/No Counter-Strike: Natus Vincere vs FaZe (B | 2/4 wallets (50%)
2026-05-04 22:08:59 | INFO     | [strategy] CONSENSUS sports/No New York Mets vs. Los Angeles Angels | 2/4 wallets (50%)
2026-05-04 22:08:59 | INFO     | [strategy] CONSENSUS sports/No Knicks vs. Hawks | 2/4 wallets (50%)
2026-05-04 22:08:59 | INFO     | [strategy] CONSENSUS sports/No Cleveland Guardians vs. Toronto Blue Jay | 2/4 wallets (50%)
2026-05-04 22:08:59 | INFO     | [strategy] CONSENSUS sports/No Philadelphia Phillies vs. Atlanta Braves | 2/4 wallets (50%)
2026-05-04 22:08:59 | INFO     | [strategy] CONSENSUS sports/No Map Handicap: NAVI (-1.5) vs FaZe (+1.5) | 2/4 wallets (50%)
2026-05-04 22:08:59 | INFO     | [strategy] CONSENSUS sports/No Spread: Knicks (-1.5) | 2/4 wallets (50%)
2026-05-04 22:08:59 | INFO     | [strategy] CONSENSUS sports/No Spread: Spurs (-4.5) | 2/4 wallets (50%)
2026-05-04 22:10:02 | INFO     | [strategy] CONSENSUS sports/No Counter-Strike: Natus Vincere vs FaZe (B | 2/4 wallets (50%)
2026-05-04 22:10:02 | INFO     | [strategy] CONSENSUS sports/No New York Mets vs. Los Angeles Angels | 2/4 wallets (50%)
2026-05-04 22:10:02 | INFO     | [strategy] CONSENSUS sports/No Knicks vs. Hawks | 2/4 wallets (50%)
2026-05-04 22:10:02 | INFO     | [strategy] CONSENSUS sports/No Cleveland Guardians vs. Toronto Blue Jay | 2/4 wallets (50%)
2026-05-04 22:10:02 | INFO     | [strategy] CONSENSUS sports/No Philadelphia Phillies vs. Atlanta Braves | 2/4 wallets (50%)
2026-05-04 22:10:02 | INFO     | [strategy] CONSENSUS sports/No Map Handicap: NAVI (-1.5) vs FaZe (+1.5) | 2/4 wallets (50%)
2026-05-04 22:10:02 | INFO     | [strategy] CONSENSUS sports/No Spread: Knicks (-1.5) | 2/4 wallets (50%)
2026-05-04 22:10:02 | INFO     | [strategy] CONSENSUS sports/No Spread: Spurs (-4.5) | 2/4 wallets (50%)
2026-05-04 22:11:05 | INFO     | [strategy] CONSENSUS sports/No Counter-Strike: Natus Vincere vs FaZe (B | 2/4 wallets (50%)
2026-05-04 22:11:05 | INFO     | [strategy] CONSENSUS sports/No New York Mets vs. Los Angeles Angels | 2/4 wallets (50%)
2026-05-04 22:11:05 | INFO     | [strategy] CONSENSUS sports/No Knicks vs. Hawks | 2/4 wallets (50%)
2026-05-04 22:11:05 | INFO     | [strategy] CONSENSUS sports/No Cleveland Guardians vs. Toronto Blue Jay | 2/4 wallets (50%)
2026-05-04 22:11:05 | INFO     | [strategy] CONSENSUS sports/No Philadelphia Phillies vs. Atlanta Braves | 2/4 wallets (50%)
2026-05-04 22:11:05 | INFO     | [strategy] CONSENSUS sports/No Map Handicap: NAVI (-1.5) vs FaZe (+1.5) | 2/4 wallets (50%)
2026-05-04 22:11:05 | INFO     | [strategy] CONSENSUS sports/No Spread: Knicks (-1.5) | 2/4 wallets (50%)
2026-05-04 22:11:05 | INFO     | [strategy] CONSENSUS sports/No Spread: Spurs (-4.5) | 2/4 wallets (50%)
2026-05-04 22:12:08 | INFO     | [strategy] CONSENSUS sports/No Counter-Strike: Natus Vincere vs FaZe (B | 2/4 wallets (50%)
2026-05-04 22:12:08 | INFO     | [strategy] CONSENSUS sports/No New York Mets vs. Los Angeles Angels | 2/4 wallets (50%)
2026-05-04 22:12:08 | INFO     | [strategy] CONSENSUS sports/No Knicks vs. Hawks | 2/4 wallets (50%)
2026-05-04 22:12:08 | INFO     | [strategy] CONSENSUS sports/No Cleveland Guardians vs. Toronto Blue Jay | 2/4 wallets (50%)
2026-05-04 22:12:08 | INFO     | [strategy] CONSENSUS sports/No Philadelphia Phillies vs. Atlanta Braves | 2/4 wallets (50%)
2026-05-04 22:12:08 | INFO     | [strategy] CONSENSUS sports/No Map Handicap: NAVI (-1.5) vs FaZe (+1.5) | 2/4 wallets (50%)
